iter	Passed	Remaining
0	153	153565
1	156	77916
2	158	52575
3	160	39889
4	161	32121
5	162	26959
6	163	23223
7	164	20424
8	165	18249
9	166	16510
10	168	15137
11	170	14029
12	172	13059
13	173	12218
14	174	11490
15	176	10860
16	177	10286
17	179	9770
18	180	9308
19	181	8880
20	183	8538
21	185	8240
22	187	7945
23	188	7660
24	189	7398
25	190	7146
26	191	6914
27	192	6697
28	194	6495
29	195	6306
30	196	6145
31	198	6012
32	201	5904
33	202	5763
34	204	5627
35	205	5502
36	206	5377
37	207	5255
38	208	5140
39	209	5030
40	210	4930
41	212	4848
42	214	4779
43	216	4696
44	217	4617
45	218	4535
46	219	4456
47	220	4382
48	222	4310
49	223	4246
50	224	4178
51	226	4129
52	229	4095
53	230	4041
54	232	3988
55	233	3936
56	234	3884
57	235	3832
58	236	3779
59	237	3728
60	238	3677
61	240	3643
62	242	3613
63	244	3578
64	246	3540
65	247	3501
66	248	3460
67	249	3420
68	250	3380
69	251	3344
70	252	3308
71	253	3273
72	255	3249
73	257	3221
74	259	3195
75	260	3166
76	261	3138
77	263	3110
78	264	3082
79	265	3052
80	266	3022
81	267	2994
82	267	2960
83	270	2944
84	271	2927
85	273	2904
86	274	2880
87	275	2856
88	276	2834
89	278	2811
90	279	2788
91	280	2768
92	281	2745
93	282	2723
94	284	2708
95	286	2695
96	288	2681
97	289	2663
98	290	2647
99	292	2630
100	293	2610
101	294	2591
102	295	2572
103	296	2554
104	297	2536
105	300	2530
106	301	2519
107	303	2506
108	305	2493
109	306	2479
110	307	2461
111	308	2445
112	309	2427
113	310	2410
114	311	2394
115	312	2378
116	313	2369
117	315	2360
118	317	2347
119	318	2337
120	320	2325
121	320	2309
122	321	2295
123	323	2283
124	324	2269
125	325	2256
126	326	2241
127	327	2231
128	329	2223
129	330	2213
130	333	2210
131	334	2200
132	335	2189
133	337	2178
134	338	2165
135	338	2153
136	340	2141
137	341	2130
138	344	2131
139	346	2125
140	347	2117
141	348	2105
142	349	2095
143	350	2085
144	351	2075
145	352	2064
146	354	2054
147	355	2044
148	356	2037
149	358	2033
150	360	2026
151	362	2019
152	363	2011
153	364	2002
154	365	1993
155	366	1984
156	367	1975
157	369	1967
158	370	1959
159	372	1954
160	373	1947
161	375	1941
162	377	1936
163	379	1932
164	380	1925
165	381	1918
166	383	1911
167	384	1906
168	387	1907
169	390	1904
170	391	1898
171	393	1892
172	394	1884
173	395	1877
174	396	1870
175	397	1862
176	398	1853
177	399	1844
178	401	1841
179	403	1836
180	404	1830
181	405	1823
182	406	1817
183	408	1809
184	409	1802
185	410	1794
186	411	1788
187	412	1781
188	413	1773
189	414	1768
190	416	1764
191	417	1758
192	419	1752
193	420	1745
194	421	1738
195	422	1732
196	423	1724
197	424	1718
198	425	1711
199	426	1704
200	427	1698
201	428	1692
202	429	1687
203	431	1683
204	432	1678
205	434	1673
206	435	1667
207	436	1661
208	437	1655
209	438	1650
210	439	1644
211	440	1638
212	442	1633
213	443	1627
214	444	1624
215	447	1622
216	448	1618
217	449	1613
218	450	1608
219	452	1602
220	453	1597
221	454	1591
222	455	1585
223	456	1580
224	457	1574
225	458	1569
226	459	1566
227	461	1563
228	462	1558
229	464	1554
230	465	1550
231	467	1546
232	468	1541
233	469	1535
234	470	1530
235	471	1525
236	472	1521
237	474	1518
238	475	1514
239	476	1509
240	477	1504
241	478	1499
242	479	1495
243	481	1490
244	482	1485
245	483	1481
246	484	1476
247	485	1471
248	486	1467
249	487	1462
250	489	1459
251	490	1456
252	492	1454
253	493	1450
254	495	1446
255	496	1443
256	497	1439
257	498	1434
258	500	1430
259	501	1426
260	503	1424
261	505	1423
262	507	1421
263	508	1417
264	509	1413
265	510	1409
266	512	1405
267	513	1401
268	514	1397
269	515	1392
270	516	1388
271	518	1386
272	520	1385
273	521	1382
274	523	1378
275	524	1374
276	525	1371
277	526	1368
278	528	1364
279	529	1360
280	530	1356
281	532	1355
282	534	1353
283	535	1350
284	537	1348
285	538	1344
286	539	1341
287	541	1337
288	542	1334
289	543	1330
290	544	1326
291	545	1323
292	547	1320
293	549	1319
294	551	1317
295	552	1314
296	553	1311
297	555	1308
298	556	1305
299	557	1301
300	559	1298
301	560	1296
302	563	1295
303	564	1293
304	566	1290
305	567	1287
306	569	1284
307	570	1281
308	571	1278
309	572	1275
310	574	1271
311	575	1270
312	578	1268
313	581	1269
314	582	1266
315	583	1263
316	585	1261
317	586	1257
318	587	1254
319	594	1264
320	596	1261
321	597	1258
322	599	1256
323	600	1252
324	601	1249
325	602	1245
326	603	1242
327	605	1241
328	608	1240
329	609	1237
330	611	1235
331	612	1233
332	613	1229
333	615	1227
334	616	1223
335	617	1220
336	618	1217
337	621	1216
338	623	1215
339	624	1212
340	625	1208
341	626	1205
342	627	1202
343	628	1199
344	629	1196
345	630	1192
346	631	1188
347	632	1185
348	634	1182
349	636	1181
350	638	1180
351	639	1177
352	640	1174
353	641	1170
354	643	1168
355	644	1165
356	644	1161
357	645	1158
358	646	1155
359	648	1153
360	651	1152
361	652	1150
362	654	1148
363	655	1145
364	656	1142
365	657	1139
366	658	1136
367	659	1133
368	661	1130
369	661	1127
370	664	1125
371	666	1125
372	668	1123
373	669	1120
374	670	1117
375	672	1115
376	673	1112
377	674	1109
378	675	1106
379	676	1103
380	677	1100
381	679	1098
382	681	1098
383	683	1096
384	684	1093
385	685	1091
386	687	1088
387	688	1085
388	689	1082
389	690	1079
390	691	1076
391	692	1074
392	694	1072
393	696	1071
394	697	1068
395	699	1066
396	700	1063
397	701	1061
398	702	1058
399	703	1055
400	704	1052
401	705	1049
402	707	1047
403	709	1046
404	710	1044
405	712	1041
406	713	1039
407	714	1036
408	715	1034
409	716	1031
410	717	1028
411	718	1025
412	720	1024
413	723	1023
414	724	1021
415	726	1019
416	727	1017
417	728	1014
418	729	1012
419	730	1009
420	731	1006
421	733	1004
422	735	1003
423	737	1001
424	738	999
425	740	997
426	741	994
427	742	992
428	743	989
429	744	986
430	745	983
431	746	981
432	747	979
433	750	978
434	751	976
435	753	974
436	754	971
437	755	969
438	756	967
439	757	964
440	758	962
441	759	959
442	760	956
443	761	954
444	763	952
445	765	951
446	767	949
447	769	947
448	770	945
449	772	943
450	773	941
451	774	938
452	775	936
453	776	933
454	778	932
455	780	931
456	781	929
457	783	926
458	784	924
459	785	922
460	786	919
461	787	917
462	788	914
463	789	911
464	790	909
465	791	906
466	793	905
467	795	904
468	797	902
469	798	900
470	799	897
471	800	895
472	801	892
473	802	890
474	802	887
475	803	884
476	804	882
477	805	879
478	807	878
479	809	877
480	811	875
481	813	873
482	814	872
483	816	870
484	817	868
485	819	866
486	820	863
487	821	862
488	824	861
489	826	859
490	827	857
491	829	856
492	830	853
493	831	851
494	832	848
495	832	846
496	833	843
497	834	841
498	836	839
499	838	838
500	840	836
501	841	834
502	842	832
503	843	830
504	844	828
505	846	826
506	847	823
507	848	821
508	848	818
509	850	817
510	853	816
511	854	814
512	856	812
513	857	810
514	858	808
515	859	806
516	860	803
517	861	801
518	861	798
519	862	796
520	863	794
521	865	792
522	867	791
523	869	790
524	871	788
525	872	786
526	874	784
527	875	782
528	876	780
529	876	777
530	877	775
531	878	773
532	880	771
533	883	770
534	884	769
535	886	767
536	887	765
537	888	763
538	889	761
539	891	759
540	891	756
541	892	754
542	894	752
543	895	750
544	897	749
545	899	747
546	900	745
547	901	743
548	902	741
549	903	739
550	904	736
551	905	734
552	906	732
553	907	730
554	908	728
555	910	727
556	912	725
557	913	723
558	914	721
559	915	719
560	916	717
561	917	715
562	918	713
563	919	710
564	920	708
565	921	706
566	922	704
567	924	703
568	926	701
569	928	700
570	929	698
571	930	696
572	931	694
573	932	692
574	933	689
575	934	687
576	935	685
577	935	683
578	936	681
579	938	679
580	940	678
581	942	676
582	943	675
583	944	673
584	946	671
585	947	669
586	949	667
587	950	665
588	951	663
589	953	662
590	955	661
591	957	659
592	958	657
593	959	655
594	960	654
595	962	652
596	963	650
597	964	648
598	965	646
599	967	645
600	970	643
601	971	642
602	973	640
603	974	638
604	975	636
605	976	635
606	978	633
607	979	631
608	980	629
609	981	627
610	983	626
611	985	624
612	986	622
613	988	621
614	989	619
615	990	617
616	991	615
617	992	613
618	993	611
619	994	609
620	996	607
621	998	606
622	1000	605
623	1002	603
624	1007	604
625	1008	602
626	1009	600
627	1010	598
628	1010	596
629	1012	594
630	1013	592
631	1015	591
632	1016	589
633	1017	587
634	1018	585
635	1019	583
636	1020	581
637	1022	579
638	1023	578
639	1024	576
640	1026	574
641	1027	573
642	1029	571
643	1034	572
644	1037	570
645	1039	569
646	1040	567
647	1042	566
648	1045	565
649	1047	563
650	1048	562
651	1049	560
652	1050	558
653	1051	556
654	1052	554
655	1053	552
656	1053	550
657	1054	548
658	1056	546
659	1057	544
660	1059	543
661	1061	541
662	1062	540
663	1064	538
664	1065	536
665	1066	534
666	1067	532
667	1068	531
668	1069	529
669	1071	527
670	1073	526
671	1075	525
672	1077	523
673	1078	521
674	1079	519
675	1081	518
676	1082	516
677	1083	514
678	1083	512
679	1085	510
680	1088	509
681	1090	508
682	1091	506
683	1092	504
684	1093	502
685	1095	501
686	1096	499
687	1097	497
688	1098	495
689	1098	493
690	1100	492
691	1103	491
692	1104	489
693	1106	487
694	1107	486
695	1109	484
696	1110	482
697	1111	480
698	1112	478
699	1113	477
700	1114	475
701	1116	474
702	1118	472
703	1120	471
704	1121	469
705	1123	467
706	1124	466
707	1125	464
708	1126	462
709	1127	460
710	1128	458
711	1130	457
712	1132	455
713	1133	454
714	1135	452
715	1136	450
716	1137	448
717	1138	447
718	1139	445
719	1140	443
720	1142	441
721	1145	440
722	1147	439
723	1148	438
724	1150	436
725	1152	434
726	1153	433
727	1155	431
728	1156	429
729	1157	428
730	1159	426
731	1161	425
732	1162	423
733	1164	421
734	1165	420
735	1167	418
736	1168	416
737	1169	415
738	1170	413
739	1171	411
740	1173	410
741	1175	408
742	1177	407
743	1178	405
744	1179	403
745	1181	402
746	1182	400
747	1183	398
748	1184	396
749	1185	395
750	1186	393
751	1188	391
752	1190	390
753	1191	388
754	1192	387
755	1194	385
756	1195	383
757	1196	381
758	1197	380
759	1198	378
760	1199	376
761	1200	374
762	1201	373
763	1203	371
764	1205	370
765	1206	368
766	1207	366
767	1209	365
768	1210	363
769	1211	361
770	1212	360
771	1213	358
772	1214	356
773	1215	354
774	1216	353
775	1218	351
776	1220	350
777	1221	348
778	1222	346
779	1223	345
780	1225	343
781	1226	341
782	1227	340
783	1228	338
784	1229	336
785	1230	334
786	1239	335
787	1240	333
788	1241	331
789	1242	330
790	1243	328
791	1243	326
792	1244	324
793	1245	323
794	1248	321
795	1250	320
796	1251	318
797	1253	317
798	1254	315
799	1255	313
800	1270	315
801	1272	314
802	1273	312
803	1275	310
804	1275	309
805	1277	307
806	1278	305
807	1281	304
808	1283	302
809	1285	301
810	1286	299
811	1288	298
812	1289	296
813	1290	294
814	1291	293
815	1294	291
816	1296	290
817	1298	288
818	1299	287
819	1300	285
820	1302	283
821	1303	282
822	1304	280
823	1305	278
824	1306	277
825	1308	275
826	1310	274
827	1311	272
828	1313	270
829	1314	269
830	1316	267
831	1317	266
832	1318	264
833	1319	262
834	1320	260
835	1321	259
836	1323	257
837	1326	256
838	1327	254
839	1329	253
840	1330	251
841	1332	249
842	1333	248
843	1334	246
844	1335	245
845	1337	243
846	1339	241
847	1341	240
848	1343	238
849	1344	237
850	1345	235
851	1347	234
852	1348	232
853	1349	230
854	1351	229
855	1354	227
856	1355	226
857	1356	224
858	1358	222
859	1359	221
860	1360	219
861	1361	217
862	1362	216
863	1363	214
864	1364	212
865	1365	211
866	1367	209
867	1371	208
868	1372	206
869	1374	205
870	1375	203
871	1376	202
872	1377	200
873	1378	198
874	1379	197
875	1382	195
876	1385	194
877	1387	192
878	1389	191
879	1390	189
880	1391	187
881	1392	186
882	1393	184
883	1394	183
884	1397	181
885	1399	180
886	1401	178
887	1402	176
888	1404	175
889	1405	173
890	1406	172
891	1407	170
892	1408	168
893	1409	167
894	1411	165
895	1412	163
896	1414	162
897	1415	160
898	1417	159
899	1418	157
900	1419	156
901	1420	154
902	1421	152
903	1423	151
904	1424	149
905	1426	147
906	1428	146
907	1429	144
908	1430	143
909	1432	141
910	1433	140
911	1434	138
912	1435	136
913	1436	135
914	1437	133
915	1438	131
916	1439	130
917	1441	128
918	1443	127
919	1444	125
920	1445	124
921	1447	122
922	1448	120
923	1449	119
924	1450	117
925	1451	115
926	1452	114
927	1453	112
928	1454	111
929	1455	109
930	1457	107
931	1458	106
932	1459	104
933	1460	103
934	1461	101
935	1462	100
936	1463	98
937	1464	96
938	1465	95
939	1466	93
940	1467	92
941	1468	90
942	1469	88
943	1471	87
944	1472	85
945	1473	84
946	1474	82
947	1475	80
948	1476	79
949	1477	77
950	1478	76
951	1479	74
952	1480	73
953	1481	71
954	1482	69
955	1483	68
956	1484	66
957	1486	65
958	1487	63
959	1488	62
960	1489	60
961	1490	58
962	1491	57
963	1492	55
964	1493	54
965	1494	52
966	1495	51
967	1496	49
968	1497	47
969	1498	46
970	1498	44
971	1500	43
972	1501	41
973	1502	40
974	1503	38
975	1504	37
976	1505	35
977	1506	33
978	1507	32
979	1508	30
980	1509	29
981	1510	27
982	1511	26
983	1513	24
984	1514	23
985	1516	21
986	1517	19
987	1518	18
988	1519	16
989	1521	15
990	1522	13
991	1523	12
992	1524	10
993	1525	9
994	1526	7
995	1528	6
996	1529	4
997	1531	3
998	1532	1
999	1533	0
